sal_code,sal_name,state,latitude,longitude,area_km2,sa2_mappings,police_district,police_mapping_confidence,classification_type,economic_base,last_updated,data_source
50099,Beenong,WA,-33.03799634503894,118.62352761204895,2.565345088350946e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50100,Beermullah,WA,-31.21668373109852,115.74903327891825,1.9095979285362774e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50101,Bejoording,WA,-31.39369876229132,116.53294228584599,8.415157865677524e-09,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50102,Beldon,WA,-31.774653721378908,115.76275391407925,2.0783811285101988e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50103,Belhus,WA,-31.78154020570725,116.00953906272777,3.8423822951425e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50104,Bellevue (WA),WA,-31.901263807423522,116.0271720515576,2.91469956082159e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50105,Belmont (WA),WA,-31.949798528546708,115.9312626551492,4.171917798945276e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50106,Bencubbin,WA,-30.77865098225386,117.85808485849223,6.487533819740774e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50107,Benger,WA,-33.18063801738087,115.84691414828063,6.842361056048816e-09,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50108,Benjaberring,WA,-31.129189258934268,117.29343180294907,1.6542473585196467e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50109,Benjinup,WA,-33.79772409536242,116.29159384680014,2.7693748405835503e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50110,Bennett Springs,WA,-31.856574443652033,115.94662693380792,4.0652304088204146e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50111,Bentley (WA),WA,-32.005103910304776,115.906695541981,5.132186965461623e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50112,Beresford,WA,-28.75638786771531,114.61987753989698,1.3619636590113844e-10,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50113,Berkshire Valley,WA,-30.558230869839093,116.1480067514292,2.235769717284182e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50114,Bernier Island,WA,-24.858199616298734,113.14166548797881,3.7436380071692925e-09,[],,0.0,Tourist,['Tourism'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50115,Bertram,WA,-32.24455327146513,115.84519330317782,2.89928502160194e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50116,Beverley (WA),WA,-32.09922340483184,116.89226951341935,3.6739273493394455e-08,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50117,Bibra Lake,WA,-32.099230546489466,115.81845127818164,1.218540484537416e-09,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50118,Bickley,WA,-32.0011180700126,116.10214116934365,9.40536327880176e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50119,Bicton,WA,-32.02647247067445,115.78590654118376,2.9693723032797006e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50120,Biddelia,WA,-34.237968081460984,115.73633355891971,1.600072441479191e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50121,Big Grove,WA,-35.08461553054381,117.88844671478523,6.807494817822856e-10,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50122,Bilbarin,WA,-32.20465405738283,117.92895674524526,1.742111215181309e-08,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50123,Bilingurr,WA,-17.91342933142174,122.22731287772734,1.0052162536891472e-09,[],,0.0,Regional Town,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50124,Bimbijy,WA,-29.717346227433108,118.12367352910096,8.216588952179178e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50125,Bindi Bindi,WA,-30.617284795474255,116.4157559989353,3.845514123395924e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50126,Bindoon,WA,-31.34007784661724,116.13104158510534,3.1032182633229e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50127,Bindoon Training Area,WA,-31.299735068495238,116.29706336516098,1.3008857081988926e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50128,Binduli,WA,-30.79866204126113,121.38529383968387,9.85693578556505e-10,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50129,Binningup,WA,-33.135130537897425,115.72377452607671,2.815566986145067e-09,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50130,Binnu,WA,-28.025787024314532,114.87443236205011,6.93729952583612e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50131,Birchmont,WA,-32.71522053794934,115.71350968152197,7.485815474824189e-10,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50132,Bluff Point,WA,-28.73683952757256,114.62214831294982,1.3553512822079486e-10,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50133,Blythewood,WA,-32.685284229243734,115.85258893717162,4.064699151262826e-09,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50134,Boallia,WA,-33.78930118374262,115.266920858775,3.6462602723979407e-09,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50135,Bobalong,WA,-34.00867072145215,117.55448171530331,1.6527223804291742e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50136,Bodallin,WA,-31.351773761179473,118.88779683811501,7.0553418526657e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50137,Boddington,WA,-32.813718290920185,116.46083034166263,1.1036665012003791e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50138,Boilup,WA,-33.76134982930032,117.01743110580435,1.037050225156549e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50139,Bokal,WA,-33.44923096583108,116.87837115791177,2.050724776670444e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50140,Bolgart,WA,-31.24142240165419,116.51687799260752,2.471514422283864e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50141,Bonnie Rock,WA,-30.441380711508494,118.38799796859107,1.1712470062751026e-07,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50142,Bonniefield,WA,-29.202796268789207,114.93743984005592,4.9834786908230435e-09,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
